frame,timestamp,hip_angle,knee_angle,elbow_angle
1,0.0,172.159,165.9545,167.9477
2,0.0333,173.1485,167.0356,168.2737
3,0.0667,173.7485,167.4816,166.4988
4,0.1,174.9822,168.1086,164.188
5,0.1333,174.53,166.7635,164.0282
6,0.1666,174.5305,166.4841,163.8061
7,0.2,174.2,166.583,165.1893
8,0.2333,174.6229,167.843,164.2838
9,0.2666,176.7679,172.5737,166.4451
10,0.2999,175.3155,171.3711,167.0194
11,0.3333,176.5825,173.0383,167.843
12,0.3666,179.6484,176.1898,167.643
13,0.3999,179.2156,175.6565,164.8964
14,0.4332,178.9273,175.9628,165.0529
15,0.4666,179.0851,173.6246,161.6209
16,0.4999,178.8335,173.6557,161.8938
17,0.5332,175.2557,167.9505,155.3737
18,0.5665,175.1708,169.5157,160.787
19,0.5999,170.0384,164.5632,161.914
20,0.6332,164.8285,161.4573,164.2368
21,0.6665,164.4182,160.7919,163.2558
22,0.6998,161.9698,155.7303,165.7503
23,0.7332,162.5389,154.2724,167.6887
24,0.7665,166.0702,156.5158,166.4527
25,0.7998,167.788,157.5212,163.187
26,0.8332,168.1721,156.7442,160.8004
27,0.8665,168.8153,158.627,159.2862
28,0.8998,171.3278,161.0127,157.2923
29,0.9331,173.6139,163.7571,159.6651
30,0.9665,176.203,166.9011,163.9253
31,0.9998,179.4689,171.9558,168.3359
32,1.0331,177.0557,172.0727,166.616
33,1.0664,173.7911,169.9972,164.5428
35,1.1331,149.1671,179.6371,116.6678
36,1.1664,157.4864,173.9037,121.669
37,1.1997,168.5636,179.8428,116.3848
38,1.2331,163.5084,177.2825,116.3074
39,1.2664,160.4534,176.2184,124.8446
40,1.2997,160.6373,177.8506,121.1111
41,1.333,161.4596,178.0172,126.7857
42,1.3664,164.8992,175.4885,133.0192
43,1.3997,170.0767,173.094,143.9478
44,1.433,169.5287,173.0287,138.5431
45,1.4663,173.8726,179.8681,144.1384
46,1.4997,173.3776,179.2931,149.2612
47,1.533,172.8915,175.884,150.4697
48,1.5663,171.8969,174.1314,149.6451
49,1.5997,171.6478,171.0909,148.3725
